bal_1,brick_1,d2_1,d3_1,d4_1,dist_1,floor_1,price_1,totsp_1,walk_1,,bal_2,brick_2,d2_2,d3_2,d4_2,dist_2,floor_2,price_2,totsp_2,walk_2,,bal_3,brick_3,d2_3,d3_3,d4_3,dist_3,floor_3,price_3,totsp_3,walk_3,,bal_4,brick_4,d2_4,d3_4,d4_4,dist_4,floor_4,price_4,totsp_4,walk_4,,bal_5,brick_5,d2_5,d3_5,d4_5,dist_5,floor_5,price_5,totsp_5,walk_5,,bal_6,brick_6,d2_6,d3_6,d4_6,dist_6,floor_6,price_6,totsp_6,walk_6,,bal_7,brick_7,d2_7,d3_7,d4_7,dist_7,floor_7,price_7,totsp_7,walk_7,,bal_8,brick_8,d2_8,d3_8,d4_8,dist_8,floor_8,price_8,totsp_8,walk_8,,bal_9,brick_9,d2_9,d3_9,d4_9,dist_9,floor_9,price_9,totsp_9,walk_9,,bal_10,brick_10,d2_10,d3_10,d4_10,dist_10,floor_10,price_10,totsp_10,walk_10
1,1,0,1,0,3.45936,0,75,67,1,,1,1,1,0,0,6,1,67,55,1,,1,0,0,0,0,11.4,1,33.5,34,1,,1,0,0,0,0,12,1,38,38,1,,1,1,0,0,0,13.4,1,30,30,0,,1,0,1,0,0,7.5,1,46,54,1,,1,0,0,0,0,11.78,1,36,35,1,,1,0,0,0,0,7.2,1,31.5,34,1,,1,0,0,1,0,15.5,1,95.5,76.9,1,,1,0,1,0,0,17.9,0,41,45,0
1,0,0,0,0,9.6,0,31,36,1,,1,0,0,0,0,10.2,1,35,36,1,,0,0,0,0,0,10.2,0,29,37,1,,1,0,1,0,0,5,0,49.5,50,1,,1,0,0,0,0,9.6,0,34,36,0,,1,0,0,1,0,14.91849,1,60,64,0,,1,1,0,1,0,11.24292,1,50,56,1,,1,0,0,0,0,9,0,37,39,1,,1,1,0,0,0,8.7,0,67,46.5,0,,1,0,0,1,0,11.475,1,58,76,0
1,0,0,0,0,14.4,0,33,36,1,,1,1,0,0,0,8.436,0,31,32,1,,1,0,1,0,0,12.65741,1,67,54,,,1,1,1,0,0,7.9,0,64,67,1,,1,0,0,0,0,4.332,1,42.5,39,1,,1,1,1,0,0,7.5,0,50,65,1,,1,1,1,0,0,5.2,1,86.5,59.6,1,,0,0,0,0,0,11.4,0,28,33,1,,1,0,0,1,0,15.3,0,53,64.3,1,,1,1,0,1,0,7,1,67,81,0
1,0,0,0,0,10.6,1,37,35,0,,0,0,0,0,0,15.352,1,27,33,1,,1,0,1,0,0,7.95,1,38,53,0,,1,1,0,0,0,11,1,32,32,1,,1,0,0,0,0,3.6,0,36,34,0,,1,0,0,0,0,12.6,1,32,33,1,,0,1,1,0,0,15,0,35,44,1,,0,1,0,0,0,7.9,0,29,30,0,,0,0,1,0,0,3.71,1,35,46,1,,1,0,0,1,0,16,1,58,75,0
0,1,0,1,0,10,0,53,64,1,,0,0,0,1,0,3.2,1,107,91,1,,1,1,0,1,0,10.9,1,79,61,1,,1,0,0,0,0,13.8,1,37,34,1,,1,0,0,0,0,12.6,0,34.5,37,1,,1,0,1,0,0,5.3,1,46,60.1,1,,1,1,1,0,0,9,1,55,47,0,,1,1,1,0,0,3.5,1,83,56,1,,0,0,0,1,0,9.51324,0,66,78,1,,0,0,0,0,0,2.622,1,45,36,1
1,1,1,0,0,13.5,1,32,43,0,,1,0,1,0,0,5,1,57,48,1,,1,1,1,0,0,16.5,1,97.2,92,1,,1,1,0,0,0,10.3,1,34,36.5,1,,0,1,1,0,0,7.95,0,31,38,1,,1,1,0,0,0,6.3,0,38,36,1,,0,1,0,1,0,2.5,0,200,99,1,,1,0,0,0,0,9.6,0,36,38,1,,0,1,0,1,0,11.5,0,71,104,0,,0,1,1,0,0,3,1,72,68,1
1,1,0,0,0,12,0,42,37,1,,1,1,1,0,0,6,0,80,57,1,,1,1,1,0,0,5.2,1,85,52,1,,1,1,0,0,1,1.9,1,200,110,1,,1,0,0,0,0,15.7,1,30,38.9,0,,1,0,0,0,0,7.2,1,45,38,1,,1,0,1,0,0,9.9985,1,46,44.9,,,1,1,0,0,0,3.534,1,65,36,1,,1,1,0,0,0,12,0,35,37,1,,1,0,0,0,0,14.4,1,33,34,1
1,0,0,0,0,10.8,0,39,39,1,,1,1,0,0,1,1.4,1,125,116,1,,0,0,0,0,0,16.7,1,36,38,1,,1,1,1,0,0,5,1,33,38,1,,1,0,0,0,0,9.6,1,27,30,0,,0,0,1,0,0,6,0,41.7,44,1,,1,0,0,1,0,12.38,1,67,65,1,,1,1,0,1,0,6.875,1,95,64,1,,1,0,0,0,0,15.86,0,32.5,37,1,,0,0,0,1,0,8.5,1,62,74,0
1,0,0,0,0,15.6,0,33,35,0,,0,,0,0,0,13.27,1,34,33,,,1,0,0,0,0,5.4,0,42,35,1,,1,1,1,0,0,16.5,1,97.2,92,1,,1,1,0,1,0,1.805,0,100,75,1,,0,0,1,0,0,3.71,1,46,50,1,,1,1,1,0,0,3,1,110,60.4,1,,0,1,0,1,0,3.89178,1,80,69,1,,0,0,0,0,0,12.35,1,32,36,0,,1,1,0,0,0,9.6,0,25,30,0
1,1,1,0,0,3.9,0,63,60,1,,1,0,0,0,0,10.2,1,38,34,1,,1,1,1,0,0,9,1,64,64,1,,0,0,1,0,0,9.3,1,53,52,1,,1,0,0,1,0,12.10776,1,53,57,1,,1,0,0,0,0,10.07,1,35,36,1,,1,0,0,0,0,10.8,0,28,31,1,,1,0,0,1,0,9.6,0,80,76,0,,1,1,1,0,0,8.7,0,43,44,1,,1,0,1,0,0,16.5,1,60,60,1
1,0,0,0,0,7.2,1,31.5,34,1,,1,0,0,1,0,14,1,55,76,0,,1,0,0,0,0,12.6,1,30,33,0,,1,0,1,0,0,7.5,1,35,41,0,,0,1,1,0,0,9,1,80,64,1,,1,0,0,1,0,11.89155,1,40,55,1,,1,0,0,0,0,10.8,1,43,39,1,,1,1,0,0,0,10.7,1,48.6,35.8,1,,1,0,0,1,0,12.9726,1,48.8,77,0,,1,0,0,0,0,15.6,1,34,35,1
0,0,0,0,0,12.92,1,29,37,1,,1,1,1,0,0,6,1,65,54,1,,1,1,1,0,0,6,0,95,50,1,,0,1,0,0,0,15.466,0,25,31,0,,0,1,1,0,0,5,1,55,56,1,,0,0,0,0,0,14.4,0,30,32,1,,1,0,0,0,0,12.9,1,33,35.5,0,,0,1,1,0,0,16.5,0,50,62,0,,1,0,0,0,0,1.196,1,27.5,30,1,,0,1,0,0,1,10.4,1,88.8,87,0
1,0,0,0,0,12.6,0,33,37,1,,0,0,1,0,0,2.65,0,30,44,0,,1,0,0,0,0,10.2,1,30.5,31,1,,1,0,0,1,0,14.48607,1,64,76,0,,1,1,1,0,0,5,1,69,57,1,,0,0,0,0,0,10.8,1,29,30,0,,1,0,0,0,0,3.6,0,34,35,1,,1,0,0,0,0,13,1,46.5,37,1,,1,1,0,0,1,2.3,1,140,142,1,,1,0,1,0,0,3.71,1,60,55.6,1
1,0,0,0,1,1.8,1,175,97,1,,0,1,0,0,0,2.622,1,50,42,1,,0,0,0,0,0,12.2,0,30,36,0,,1,0,0,0,1,5.2,0,110,100,1,,1,1,1,0,0,2.65,1,70,50,1,,1,0,0,0,0,12,1,37,35,0,,0,0,0,0,0,10.2,1,38.5,35,1,,1,0,0,1,0,14.48607,1,63,76,0,,1,1,1,0,0,11.01136,0,59.5,67.9,,,1,1,0,1,0,2.5,1,300,117,1
1,1,0,1,0,8.86461,1,103,80,1,,0,0,1,0,0,13.55323,0,31.99,38.3,,,0,0,0,0,0,16.5,1,32,33,1,,1,1,0,1,0,14.26986,1,45,56,1,,1,0,0,0,0,9.6,1,43,33,1,,0,1,0,1,0,10.16187,1,66,63,1,,1,0,0,0,0,12,1,28,34,1,,1,0,0,0,0,13.8,1,42,38,1,,0,0,0,0,0,12.6,0,27,32,1,,1,0,1,0,0,2.65,1,57,59,1
1,0,0,0,0,3.9,1,46,38,1,,1,1,0,0,0,2.4,1,37.5,33,1,,1,0,0,0,0,9.6,1,33,35,0,,1,1,1,0,0,2.5,1,52,61,0,,0,0,0,0,0,9.6,1,29,33,1,,1,0,0,0,0,14.5,1,38,39.1,0,,,,0,0,0,16.7,,29,32,1,,0,0,0,0,0,8.7,0,33,35,0,,0,1,0,1,0,13,0,80,94,1,,1,1,0,0,0,3.4,1,53,41.5,1
0,1,0,0,1,0.9,0,77,81,1,,1,1,0,1,0,13.18881,0,53,57,1,,0,1,0,0,0,3.65,0,28,30,1,,1,1,0,0,1,3.8,1,148,98,0,,1,0,0,0,0,10.05,1,38.5,37,1,,1,0,0,0,0,7.2,0,36,35,1,,1,1,0,1,0,6.4863,1,64,80,1,,0,1,1,0,0,5,0,25,45,0,,1,0,0,0,0,12.6,1,30.5,30,1,,1,0,1,0,0,5,0,76,58,1
1,0,0,0,0,16.8,0,31.8,38,1,,0,0,1,0,0,3.71,0,34,38,0,,1,0,0,0,0,12,0,27,38,1,,0,0,0,0,0,15.09,1,27,32,0,,0,1,1,0,0,5.3,1,77,60.4,1,,0,0,0,0,0,12.1,1,34,39,0,,0,0,0,0,0,7.804,0,31,33,0,,1,0,0,0,0,3.6,1,40,39,1,,0,,0,0,0,14.62,0,29,29,,,0,1,1,0,0,6.216912,1,69,66.2,
1,0,0,1,0,10.16187,1,68,68,0,,0,1,1,0,0,2.65,1,72,60,1,,1,1,0,1,0,10,0,59,78,1,,0,,0,0,0,8.73,0,28,32,,,,,0,0,0,,,33,37,1,,1,1,0,0,1,4.6,0,149,97,1,,1,1,0,0,0,4.655,1,42,32,1,,1,0,0,0,0,15.6,1,33,35,1,,0,1,1,0,0,2.3,0,48,54,1,,1,1,1,0,0,3,1,130,68.3,1
1,1,0,1,0,9.9,1,89,80,0,,1,1,1,0,0,4.016217,1,105,59,,,1,0,0,0,0,16.5,1,29,33,1,,0,1,0,0,1,15.1,1,110,100,1,,1,0,0,0,0,12.6,1,33.5,35,1,,1,0,0,0,0,9.6,1,34,35,1,,1,0,1,0,0,3,1,53.5,48,1,,0,0,0,0,0,7.2,1,29,32,1,,1,0,0,0,0,7.9,1,41,38,1,,1,0,0,0,0,9.4,1,35,36,1
1,1,0,0,0,7.2,1,35,33,1,,1,0,0,0,0,7.2,1,35,30,1,,1,0,1,0,0,9,0,56,51,1,,0,0,0,0,0,7.2,1,28,34,0,,1,0,0,0,0,5.6,1,43,35,1,,1,0,1,0,0,5,0,62,58,1,,1,0,1,0,0,3.269557,1,109,71,,,0,0,0,0,0,12.6,1,31,35,1,,0,0,0,0,0,12,1,28,32,1,,1,0,0,0,0,15.6,1,32,35,1
1,0,0,0,0,8.3,1,39,40,1,,1,0,1,0,0,11.38991,1,69,59.7,,,1,0,0,0,0,15.32,1,33,41,0,,1,0,0,0,0,4.8,1,39,32,1,,1,1,1,0,0,9.780082,1,34.5,45,,,0,0,0,0,0,12,0,29,32,0,,1,1,0,1,0,9.51324,0,87,69,0,,0,0,0,0,0,15.6,0,28,38,0,,0,0,0,0,0,16.8,1,27.5,33,1,,1,1,0,0,0,10.2,1,32,32,1
1,0,0,0,0,7.2,0,33,38,1,,0,0,0,0,0,16.8,1,34,39,1,,1,1,0,1,0,9.51324,1,115,79,1,,1,0,0,0,0,10.8,1,36,35,1,,0,0,0,0,0,15.6,0,28,38,1,,1,1,0,0,0,7.2,1,33,31,1,,1,0,1,0,0,5,1,55,52,1,,1,0,0,1,0,14.375,0,62,76.8,0,,1,1,0,1,0,6.9,1,125,73,1,,0,0,0,1,0,10.7,1,88,77,0
1,0,0,0,0,9,1,29.5,32,1,,1,0,0,0,0,14.44,1,45,39,1,,1,0,0,1,0,3.24315,1,77,60,1,,1,1,0,0,1,4.2,1,105,80,1,,1,1,0,0,0,11.06,1,29,33,1,,0,1,0,0,0,7.2,1,30,31,0,,0,1,0,0,0,2.4,1,33,30,1,,0,0,0,0,0,9.6,1,27,32,1,,0,0,0,0,0,2.4,0,53,40,1,,1,1,1,0,0,3,1,37,38,0
0,1,1,0,0,5.3,0,63,60,1,,1,0,1,0,0,5.3,1,47,52,0,,1,0,0,0,0,8.15,1,47,39,1,,1,0,0,0,1,5.5,1,75,80,1,,1,0,0,1,0,9.51324,0,74,63,1,,1,1,1,0,0,5.3,0,38,37.7,1,,0,1,1,0,0,2.65,0,39,46,0,,0,1,1,0,0,6,1,85,70,1,,1,0,0,0,0,9.94,1,28,33,1,,1,1,1,0,0,7.5,1,35,41,0
1,0,0,0,1,13.7,1,70,100,1,,0,1,0,1,0,11.45913,1,60,77,1,,1,0,1,0,0,4.5,1,63,54,0,,0,0,0,0,0,15.86,1,33,39,1,,1,1,0,0,0,2.7,1,49,36,1,,1,0,0,0,0,12,1,33,35,1,,1,0,0,1,0,12.5,1,55,67,1,,1,0,0,0,0,9,0,42,39,1,,1,1,1,0,0,10.6,1,40.5,43.5,1,,1,0,0,0,0,3.7,0,30,30,0
1,0,0,1,0,2.59452,0,110,122,1,,1,0,0,0,0,11.56,1,37.5,39,0,,0,0,0,0,0,12,0,28,37,1,,1,1,1,0,0,16.5,1,85,80,1,,1,0,0,0,0,8.55,1,37,42,1,,1,1,0,0,0,10.2,0,49.6,36,1,,1,1,0,1,0,4.4,0,125,96,1,,0,0,0,0,0,6.97,1,35,35,0,,1,1,0,0,0,10.2,1,30,30,1,,1,0,0,0,0,13.8,0,42,38,1
1,0,1,0,0,2.65,1,38,38,0,,1,1,1,0,0,2.35372,1,70,58,,,1,1,0,0,0,3,1,50,35,1,,1,0,0,0,0,16.663,1,32,35,1,,0,0,1,0,0,7.5,1,50,46,1,,1,0,1,0,0,3.71,0,59,51,1,,0,1,0,0,0,2.2,0,55,42,1,,1,1,0,0,0,12,0,45.9,35,1,,1,1,1,0,0,10.74895,1,43.5,43.3,,,1,0,0,1,0,8,1,120,76,1
1,0,0,0,0,15.6,1,30,32,1,,1,1,0,1,0,2,1,210,90,1,,1,0,0,0,0,13.3,1,34,38,0,,1,0,0,0,1,13.1,1,65,100,1,,1,0,1,0,0,12.9,1,44,45,1,,0,1,0,1,0,4,0,72,70,0,,1,1,1,0,0,9,1,64,65,1,,0,0,0,0,0,11.3,0,42,38,1,,1,1,0,0,0,3.23,1,36,31,1,,1,1,1,0,0,5.941381,1,83,64,
1,0,1,0,0,9,1,54,54,1,,1,0,1,0,0,3.71,1,62,68.1,0,,0,1,0,1,0,7.13493,1,102,85,1,,0,0,0,1,0,8.86461,0,72,80,1,,1,0,0,0,0,16.5,1,42.5,39,1,,1,1,1,0,0,6,1,52,43,1,,1,0,0,0,0,16.8,0,32,38,1,,1,0,0,0,0,5.4,1,35,31,1,,0,0,1,0,0,21,1,43,45,0,,1,,0,0,0,10.67,0,30,30,
1,1,0,1,0,10.8105,1,80,75,1,,1,0,0,0,0,15.86,1,32,37,1,,1,0,1,0,0,7.95,1,50,46,1,,0,0,1,0,0,5.3,0,32.5,44.3,1,,1,0,0,0,0,8.55,1,30,39,1,,0,0,0,0,0,10.8,0,31,30,1,,1,1,0,1,0,6.27009,1,83,73,1,,1,0,1,0,0,5.3,0,43,51,0,,1,1,0,0,0,8.03,1,38,32,1,,1,0,0,1,0,12.10776,1,60,65,0
1,0,0,0,0,10.8,1,42,40,0,,1,1,0,0,0,3.1,1,65,36.1,1,,1,1,0,0,0,7.2,0,39,35,1,,0,1,0,1,0,7.78356,1,100,84,1,,1,0,0,1,0,7.13493,1,92,72,1,,0,1,0,1,0,6.70251,1,69,80,1,,1,1,1,0,0,9,0,39,41,1,,1,0,1,0,0,11.9,1,36,42.8,1,,1,0,0,0,0,13.8,1,43,39,0,,1,1,0,1,0,10.3125,1,112,77,1
0,0,0,0,0,10.2,0,32,32,1,,1,0,0,0,0,10.8,1,36,39,1,,0,0,0,1,0,8.86461,0,67,77,1,,1,0,0,1,0,17.94543,1,62,59,1,,1,1,1,0,0,9.12,1,48.5,43.6,1,,1,0,0,0,1,1.8,1,160,94,1,,,,0,0,0,9.3,,46,46.5,1,,1,0,0,0,0,11.4,0,32,38,1,,1,1,0,1,0,10,1,86,57,0,,1,1,0,0,0,5.4,1,33.5,32,0
1,0,0,0,0,11.13,0,34,40,1,,1,0,0,0,0,9.6,0,27.4,36,1,,1,0,0,0,0,10.57,1,39.3,36.5,0,,0,1,1,0,0,3.71,0,41,42.7,1,,1,0,1,0,0,2.65,1,40,52,1,,1,1,0,1,0,7.56735,1,50,57,1,,1,0,0,0,0,12.92,1,29,38,0,,1,0,0,0,0,1.9,1,55,37.7,1,,1,0,0,0,0,13.4,1,32,35,0,,0,0,0,0,0,13.8,1,34,31,1
1,1,0,1,0,5.5,1,71,71,0,,1,1,1,0,0,9,1,64,65,0,,,,0,0,0,14.5,,35,33,1,,1,1,1,0,0,16.5,0,80,76,1,,0,1,1,0,0,9,0,45,55,1,,1,0,1,0,0,5.3,0,54,63,1,,1,1,1,0,0,5.675385,1,90,56,,,1,0,0,0,0,10.2,1,35.5,35,1,,1,1,0,1,0,1.4,1,125,80,1,,1,0,1,0,0,3.71,1,46,51,1
1,0,0,0,0,3.93,1,43,40,1,,0,1,0,1,0,13.18881,0,57,72,1,,1,0,0,0,0,10.2,0,36.5,35,1,,1,1,0,1,0,4.1,0,53,57,0,,0,1,1,0,0,6,1,60,55,1,,1,1,0,1,0,6.4863,1,78,92,1,,1,0,0,0,0,3.73,1,46,38,1,,1,1,1,0,0,2.65,1,79,70,1,,1,1,1,0,0,6,1,64,60,1,,1,0,0,0,0,12.53,1,36,39,1
0,0,0,1,0,16,0,49,59,1,,1,0,0,0,0,13.8,1,43,39,0,,1,1,0,1,0,11.02671,0,46,57,0,,1,0,0,0,0,11.3,1,33,39,0,,1,1,1,0,0,16.5,0,80,76,1,,1,1,1,0,0,7.5,0,43,58,0,,1,0,0,1,0,12.75639,1,49.5,60,1,,1,0,1,0,0,9,0,70,54,1,,1,1,0,1,0,4.75662,1,60,58,1,,1,0,0,0,0,9.6,1,33,34,1
1,0,0,0,0,15.6,0,27,31,1,,1,1,1,0,0,5.3,1,95,61.3,1,,1,0,0,0,0,16.7,1,36,40,1,,1,0,0,1,0,13.5,1,61,78,1,,0,0,0,0,0,7.2,0,26,27,1,,,,0,0,0,16.3,,34,35,1,,0,1,1,0,0,9,0,47,47,0,,1,1,1,0,0,2.765863,1,73,62.8,,,0,0,0,0,0,12,0,35,35,0,,1,0,1,0,0,6.84,1,54,51,1
1,1,0,0,1,5.8,1,120,108,1,,,,0,0,0,14,,34,38,0,,0,0,0,1,0,4.5,0,97,62,1,,1,1,0,0,0,3,1,46,36,1,,1,0,0,0,0,12.6,0,34,37,1,,1,1,0,1,0,7.13493,0,45,54,1,,1,1,1,0,0,9,0,37,45,0,,1,0,1,0,0,5,0,42,42,1,,1,1,1,0,0,8.9,0,40,44,1,,0,0,0,0,0,7.2,0,26,30,1
0,1,1,0,0,13,0,61,84,1,,1,0,0,0,0,10.3,0,29,31,1,,0,0,1,0,0,15.7,1,39,44,1,,1,0,0,0,0,9.6,1,32,35,0,,1,0,1,0,0,9,1,65,60,1,,0,1,0,1,0,10,1,81,86,1,,1,0,0,0,0,13,1,30,39,0,,1,0,0,0,0,11.6,1,28,39,0,,1,1,1,0,0,3,1,36.5,44,0,,0,0,0,0,0,5.4,0,35,34,1
0,0,1,0,0,7.5,1,34,45,0,,0,0,0,0,0,11.3,1,42,37,0,,1,0,1,0,0,3.71,1,37,42,0,,1,0,0,0,0,12.6,0,28.9,33,1,,,,0,0,0,,,32,38.1,1,,0,0,0,0,1,11.5,1,65,64,1,,1,0,1,0,0,7.95,1,44,52,1,,1,1,0,0,0,10.2,1,26,26,1,,1,1,1,0,0,3,1,83,56,1,,1,1,0,0,0,10.3,1,30,30,1
1,0,0,0,0,14.6,0,27.5,30,0,,1,0,0,0,0,12.35,1,35,39,0,,1,1,0,0,0,14.3,1,35,30.3,1,,1,1,0,1,0,9.51324,1,94,69,1,,1,0,0,0,0,14.8,1,37,33,1,,1,0,1,0,0,7.95,1,42,53.8,0,,1,0,0,0,0,11.4,0,30,35,1,,1,0,1,0,0,17.8,1,43,47,0,,1,0,1,0,0,5,1,40,47,0,,0,0,0,0,0,10.298,1,26,32,1
1,0,0,1,0,12,1,95,74,0,,0,1,0,0,0,12.483,1,29,31,1,,1,0,0,1,0,10.16187,1,51,61,1,,0,0,0,0,0,5.4,0,33.6,30,1,,1,0,0,0,0,16.7,1,35,38.5,1,,1,0,0,0,0,16.8,1,32,38,1,,1,1,0,1,0,4,1,95,79,1,,1,1,0,0,0,2.36,0,60,46,1,,1,0,0,0,0,8.2,1,33,35,1,,1,0,1,0,0,5.3,1,40,46,1
1,0,0,0,0,12.6,1,35,33,1,,1,0,0,0,0,12.6,0,36,37,1,,1,1,0,0,0,10.83,0,29,30,0,,1,1,0,0,1,2,0,135,120,1,,1,0,0,0,0,9.6,1,35,36,1,,1,0,0,0,0,11.4,1,33,35,1,,0,1,1,0,0,2.5,1,75,63,1,,1,1,0,1,0,1.365,1,145,75,0,,1,0,1,0,0,2.65,1,32.5,37.5,1,,1,1,0,0,0,3.57,0,32,35,1
1,1,1,0,0,2.4,1,61,37.4,1,,1,0,0,0,0,9.34,1,34,33,1,,1,0,1,0,0,6.89,1,140,68.3,1,,0,0,0,0,0,14.44,0,45,38,1,,1,1,0,1,0,6.6,1,110,83,1,,1,0,0,1,0,11.67534,0,54,60,1,,0,1,0,1,0,4.54041,1,70,78,1,,1,1,1,0,0,5.2,1,56,46.7,,,1,1,1,0,0,5.3,1,95,59,1,,1,0,0,0,0,10.8,1,29,30,0
1,0,0,0,0,3.93,1,36,38.3,0,,1,1,0,0,0,10.6,1,29.5,31,0,,1,0,0,0,0,16.8,0,35,38,1,,0,0,0,0,0,16.8,1,28,33,1,,1,1,0,1,0,5,1,88,75,1,,0,0,0,0,0,11.4,1,31.5,32,1,,1,0,0,0,0,10.2,0,36.5,35,1,,1,1,1,0,0,12,1,39,43,0,,1,1,1,0,0,5.675385,1,110,54,,,1,1,0,1,0,3.89178,1,87,82,1
