x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
27,21,24,37,58,42,83,49,52,37,70,11,33,84,61,40,9,4,49,4
28,21,25,37,59,42,84,49,53,37,71,11,34,84,62,40,10,4,50,4
17,22,26,37,60,42,85,49,54,37,72,11,35,84,63,40,11,4,51,4
18,22,27,37,61,42,86,49,55,37,73,11,36,84,64,40,1,5,41,5
19,22,28,37,62,42,87,49,56,37,62,12,25,85,65,40,2,5,42,5
20,22,17,38,63,42,69,50,74,37,63,12,26,85,66,40,3,5,43,5
21,22,18,38,64,42,76,50,75,37,64,12,27,85,67,40,4,5,44,5
22,22,19,38,53,43,77,50,76,37,65,12,28,85,68,40,5,5,45,5
23,22,20,38,54,43,78,50,77,37,66,12,29,85,69,40,6,5,46,5
24,22,21,38,55,43,79,50,78,37,67,12,30,85,85,40,7,5,47,5
25,22,22,38,56,43,80,50,79,37,68,12,31,85,58,41,8,5,48,5
26,22,23,38,57,43,81,50,80,37,69,12,32,85,59,41,9,5,49,5
27,22,24,38,58,43,82,50,81,37,70,12,33,85,60,41,10,5,50,5
28,22,25,38,59,43,83,50,82,37,71,12,34,85,61,41,1,6,51,5
18,23,26,38,60,43,84,50,83,37,72,12,35,85,62,41,2,6,40,6
19,23,27,38,61,43,85,50,84,37,73,12,36,85,63,41,3,6,41,6
20,23,28,38,62,43,86,50,85,37,62,13,25,86,64,41,4,6,42,6
21,23,17,39,63,43,87,50,86,37,63,13,26,86,65,41,5,6,43,6
22,23,18,39,64,43,76,51,87,37,64,13,27,86,66,41,6,6,44,6
23,23,19,39,53,44,77,51,88,37,65,13,28,86,67,41,7,6,45,6
24,23,20,39,54,44,78,51,89,37,66,13,29,86,68,41,8,6,46,6
25,23,21,39,55,44,79,51,90,37,67,13,30,86,69,41,9,6,47,6
26,23,22,39,56,44,80,51,91,37,68,13,31,86,59,42,3,7,48,6
27,23,23,39,57,44,81,51,50,38,69,13,32,86,60,42,4,7,49,6
28,23,24,39,58,44,82,51,51,38,70,13,33,86,61,42,5,7,50,6
18,24,25,39,59,44,83,51,52,38,71,13,34,86,62,42,6,7,40,7
19,24,26,39,60,44,84,51,53,38,72,13,35,86,63,42,7,7,41,7
20,24,27,39,61,44,85,51,54,38,62,14,36,86,64,42,8,7,42,7
21,24,28,39,62,44,86,51,55,38,63,14,25,87,65,42,45,11,43,7
22,24,17,40,63,44,87,51,56,38,64,14,26,87,66,42,19,12,44,7
23,24,18,40,53,45,76,52,57,38,65,14,27,87,67,42,86,14,45,7
24,24,19,40,54,45,77,52,74,38,66,14,28,87,68,42,1,21,46,7
25,24,20,40,55,45,78,52,75,38,67,14,29,87,69,42,53,21,47,7
26,24,21,40,56,45,79,52,76,38,68,14,30,87,59,43,57,25,48,7
27,24,22,40,57,45,80,52,77,38,69,14,31,87,60,43,34,31,49,7
28,24,23,40,58,45,81,52,78,38,70,14,32,87,61,43,35,31,39,8
19,25,24,40,59,45,82,52,79,38,71,14,33,87,62,43,36,31,40,8
20,25,25,40,60,45,83,52,80,38,72,14,34,87,63,43,37,31,41,8
21,25,26,40,61,45,84,52,81,38,63,15,35,87,64,43,38,31,42,8
22,25,27,40,62,45,85,52,82,38,64,15,36,87,65,43,61,31,43,8
23,25,28,40,63,45,86,52,83,38,65,15,6,88,66,43,62,31,44,8
24,25,18,41,25,46,87,52,84,38,66,15,26,88,67,43,63,31,45,8
25,25,19,41,54,46,29,53,85,38,67,15,27,88,68,43,64,31,46,8
26,25,20,41,55,46,30,53,86,38,68,15,28,88,69,43,65,31,47,8
27,25,21,41,56,46,31,53,87,38,69,15,29,88,60,44,32,32,48,8
20,26,22,41,57,46,32,53,88,38,70,15,30,88,61,44,33,32,49,8
21,26,23,41,58,46,33,53,89,38,71,15,31,88,62,44,34,32,39,9
22,26,24,41,59,46,34,53,90,38,72,15,32,88,63,44,35,32,40,9
23,26,25,41,60,46,76,53,91,38,64,16,33,88,64,44,36,32,41,9
24,26,26,41,61,46,77,53,49,39,65,16,34,88,65,44,37,32,42,9
25,26,27,41,62,46,78,53,50,39,66,16,35,88,66,44,38,32,43,9
26,26,18,42,55,47,79,53,51,39,67,16,36,88,67,44,39,32,44,9
65,26,19,42,56,47,80,53,52,39,68,16,26,89,68,44,40,32,45,9
22,27,20,42,57,47,81,53,53,39,69,16,27,89,69,44,60,32,46,9
23,27,21,42,58,47,82,53,54,39,70,16,28,89,73,44,61,32,47,9
24,27,22,42,59,47,83,53,55,39,71,16,29,89,88,44,62,32,48,9
41,29,23,42,60,47,84,53,56,39,65,17,30,89,89,44,63,32,49,9
42,29,24,42,61,47,85,53,57,39,66,17,31,89,41,45,64,32,38,10
39,30,25,42,62,47,86,53,58,39,67,17,32,89,60,45,65,32,39,10
40,30,26,42,42,48,13,54,73,39,68,17,33,89,61,45,66,32,40,10
41,30,27,42,56,48,28,54,74,39,69,17,34,89,62,45,32,33,41,10
42,30,53,42,57,48,29,54,75,39,91,18,35,89,63,45,33,33,42,10
43,30,54,42,58,48,30,54,76,39,21,19,36,89,64,45,34,33,43,10
44,30,19,43,59,48,31,54,77,39,58,19,2,90,65,45,35,33,44,10
45,30,20,43,60,48,32,54,78,39,73,27,27,90,66,45,36,33,45,10
62,30,21,43,50,49,33,54,79,39,46,32,28,90,67,45,37,33,46,10
35,31,22,43,30,54,34,54,80,39,95,40,29,90,68,45,38,33,47,10
38,31,23,43,18,61,35,54,81,39,2,43,30,90,69,45,39,33,48,10
39,31,24,43,19,61,36,54,82,39,22,47,31,90,70,45,40,33,49,10
40,31,25,43,20,61,77,54,83,39,62,48,32,90,85,45,59,33,10,11
41,31,26,43,21,61,78,54,84,39,91,49,33,90,86,45,60,33,38,11
42,31,76,43,22,61,79,54,85,39,79,50,34,90,87,45,61,33,39,11
43,31,21,44,17,62,80,54,86,39,97,51,35,90,88,45,62,33,40,11
44,31,22,44,18,62,81,54,87,39,14,64,64,90,89,45,63,33,41,11
45,31,23,44,19,62,82,54,88,39,89,65,65,90,90,45,64,33,42,11
46,31,24,44,20,62,83,54,89,39,17,71,66,90,91,45,65,33,43,11
37,32,9,46,21,62,84,54,90,39,42,75,67,90,61,46,66,33,44,11
38,32,61,46,22,62,85,54,91,39,22,77,68,90,62,46,67,33,45,11
39,32,13,47,23,62,86,54,48,40,23,77,28,91,63,46,81,33,46,11
40,32,35,48,16,63,27,55,49,40,24,77,29,91,64,46,31,34,47,11
41,32,85,50,17,63,29,55,50,40,25,77,30,91,65,46,32,34,48,11
42,32,0,52,18,63,30,55,51,40,26,77,31,91,66,46,33,34,49,11
43,32,25,52,19,63,31,55,52,40,27,77,32,91,67,46,34,34,39,12
44,32,70,52,20,63,32,55,53,40,21,78,33,91,68,46,35,34,40,12
45,32,79,56,21,63,33,55,54,40,22,78,34,91,69,46,36,34,41,12
46,32,23,59,22,63,34,55,55,40,23,78,38,91,70,46,37,34,42,12
47,32,43,62,23,63,35,55,56,40,24,78,39,91,71,46,38,34,43,12
37,33,4,63,24,63,36,55,57,40,25,78,40,91,84,46,39,34,44,12
38,33,57,64,15,64,78,55,58,40,26,78,41,91,85,46,40,34,45,12
39,33,30,67,16,64,79,55,73,40,27,78,42,91,86,46,41,34,46,12
40,33,35,69,17,64,80,55,74,40,28,78,62,91,87,46,58,34,47,12
41,33,89,72,18,64,81,55,75,40,29,78,63,91,88,46,59,34,48,12
42,33,90,72,19,64,82,55,76,40,20,79,64,91,89,46,60,34,49,12
43,33,91,72,20,64,83,55,77,40,21,79,65,91,90,46,61,34,39,13
44,33,33,73,21,64,84,55,78,40,22,79,66,91,91,46,62,34,40,13
45,33,87,73,22,64,85,55,79,40,23,79,67,91,92,46,63,34,41,13
46,33,88,73,23,64,27,56,80,40,24,79,68,91,60,47,64,34,42,13
47,33,89,73,24,64,28,56,81,40,25,79,69,91,61,47,65,34,43,13
36,34,90,73,25,64,29,56,82,40,26,79,29,92,62,47,66,34,44,13
37,34,91,73,64,64,30,56,83,40,27,79,30,92,63,47,67,34,45,13
38,34,92,73,15,65,31,56,84,40,28,79,31,92,64,47,68,34,46,13
39,34,93,73,16,65,32,56,85,40,29,79,32,92,65,47,31,35,47,13
40,34,75,74,17,65,33,56,86,40,20,80,36,92,66,47,32,35,48,13
41,34,86,74,18,65,34,56,87,40,21,80,37,92,67,47,33,35,49,13
42,34,87,74,19,65,35,56,88,40,22,80,38,92,68,47,34,35,39,14
43,34,88,74,20,65,36,56,89,40,23,80,39,92,69,47,35,35,40,14
44,34,89,74,21,65,37,56,90,40,24,80,40,92,70,47,36,35,41,14
45,34,90,74,22,65,56,56,91,40,25,80,41,92,71,47,37,35,42,14
46,34,91,74,23,65,57,56,48,41,26,80,42,92,84,47,38,35,43,14
47,34,92,74,24,65,58,56,49,41,27,80,43,92,85,47,39,35,44,14
36,35,93,74,25,65,59,56,50,41,28,80,61,92,86,47,40,35,45,14
37,35,94,74,15,66,79,56,51,41,29,80,62,92,87,47,41,35,46,14
38,35,85,75,16,66,80,56,52,41,30,80,63,92,88,47,58,35,47,14
39,35,86,75,17,66,81,56,53,41,19,81,64,92,89,47,59,35,48,14
40,35,87,75,18,66,82,56,54,41,20,81,65,92,90,47,60,35,40,15
41,35,88,75,19,66,83,56,55,41,21,81,66,92,91,47,61,35,41,15
42,35,89,75,20,66,26,57,56,41,22,81,67,92,92,47,62,35,42,15
43,35,90,75,21,66,27,57,57,41,23,81,68,92,93,47,63,35,43,15
44,35,91,75,22,66,28,57,58,41,24,81,69,92,60,48,64,35,44,15
45,35,92,75,23,66,29,57,59,41,25,81,70,92,61,48,65,35,45,15
46,35,93,75,24,66,30,57,74,41,26,81,86,92,62,48,66,35,46,15
47,35,94,75,25,66,31,57,75,41,27,81,35,93,63,48,67,35,47,15
0,36,95,75,26,66,32,57,76,41,28,81,36,93,64,48,68,35,41,16
36,36,82,76,15,67,33,57,77,41,29,81,37,93,65,48,30,36,42,16
37,36,85,76,16,67,34,57,78,41,30,81,38,93,66,48,31,36,43,16
38,36,86,76,17,67,35,57,79,41,19,82,39,93,67,48,32,36,44,16
39,36,87,76,18,67,36,57,80,41,20,82,40,93,68,48,33,36,45,16
40,36,88,76,19,67,37,57,81,41,21,82,41,93,69,48,34,36,46,16
41,36,89,76,20,67,54,57,82,41,22,82,42,93,70,48,35,36,92,19
42,36,90,76,21,67,55,57,83,41,23,82,43,93,71,48,36,36,57,27
43,36,91,76,22,67,56,57,84,41,24,82,44,93,83,48,37,36,52,28
44,36,92,76,23,67,57,57,85,41,25,82,61,93,84,48,38,36,87,35
45,36,93,76,24,67,58,57,86,41,26,82,62,93,85,48,39,36,15,37
46,36,94,76,25,67,59,57,87,41,27,82,63,93,86,48,40,36,72,40
47,36,95,76,26,67,60,57,88,41,28,82,64,93,87,48,41,36,63,42
37,37,84,77,15,68,61,57,89,41,29,82,65,93,88,48,58,36,80,42
38,37,85,77,16,68,90,57,90,41,30,82,66,93,89,48,59,36,2,49
39,37,86,77,17,68,26,58,91,41,42,82,67,93,90,48,60,36,0,53
40,37,87,77,18,68,27,58,48,42,19,83,68,93,91,48,61,36,96,55
41,37,88,77,19,68,28,58,49,42,20,83,69,93,92,48,62,36,59,58
42,37,89,77,20,68,29,58,50,42,21,83,70,93,93,48,63,36,7,59
43,37,90,77,21,68,30,58,51,42,22,83,71,93,60,49,64,36,56,60
44,37,91,77,22,68,31,58,52,42,23,83,35,94,61,49,65,36,36,61
45,37,92,77,23,68,32,58,53,42,24,83,36,94,62,49,66,36,35,68
46,37,93,77,24,68,33,58,54,42,25,83,37,94,63,49,67,36,36,68
47,37,94,77,25,68,34,58,55,42,26,83,38,94,64,49,68,36,37,68
37,38,95,77,15,69,35,58,56,42,27,83,39,94,65,49,69,36,38,68
38,38,84,78,16,69,36,58,57,42,28,83,40,94,66,49,30,37,39,68
39,38,85,78,17,69,37,58,58,42,29,83,41,94,67,49,31,37,86,68
40,38,86,78,18,69,53,58,59,42,30,83,42,94,68,49,32,37,34,69
41,38,87,78,19,69,54,58,74,42,20,84,43,94,69,49,33,37,35,69
42,38,88,78,20,69,55,58,75,42,21,84,44,94,70,49,34,37,36,69
43,38,89,78,21,69,56,58,76,42,22,84,45,94,71,49,35,37,37,69
44,38,90,78,22,69,57,58,77,42,23,84,61,94,83,49,36,37,38,69
45,38,91,78,23,69,58,58,78,42,24,84,62,94,84,49,37,37,39,69
46,38,92,78,24,69,59,58,79,42,25,84,63,94,85,49,38,37,40,69
38,39,93,78,25,69,60,58,80,42,26,84,64,94,86,49,39,37,41,69
39,39,94,78,16,70,61,58,81,42,27,84,65,94,87,49,40,37,33,70
40,39,95,78,17,70,62,58,82,42,28,84,66,94,88,49,41,37,34,70
41,39,85,79,18,70,14,59,83,42,29,84,67,94,89,49,58,37,35,70
42,39,86,79,19,70,26,59,84,42,30,84,68,94,90,49,59,37,36,70
43,39,87,79,20,70,27,59,85,42,20,85,69,94,91,49,60,37,37,70
44,39,88,79,21,70,28,59,86,42,21,85,70,94,92,49,61,37,38,70
45,39,89,79,22,70,29,59,87,42,22,85,71,94,93,49,62,37,39,70
46,39,90,79,23,70,30,59,88,42,23,85,79,94,94,49,63,37,40,70
39,40,91,79,24,70,31,59,89,42,24,85,34,95,60,50,64,37,41,70
40,40,92,79,25,70,32,59,90,42,25,85,35,95,61,50,65,37,42,70
41,40,93,79,17,71,33,59,48,43,26,85,36,95,62,50,66,37,58,70
42,40,94,79,18,71,34,59,49,43,27,85,37,95,63,50,67,37,32,71
43,40,95,79,19,71,35,59,50,43,28,85,38,95,64,50,68,37,33,71
44,40,6,80,20,71,36,59,51,43,29,85,39,95,65,50,69,37,34,71
34,49,85,80,21,71,37,59,52,43,30,85,40,95,66,50,31,38,35,71
35,49,86,80,22,71,41,59,53,43,58,85,41,95,67,50,32,38,36,71
36,49,87,80,23,71,53,59,54,43,21,86,42,95,68,50,33,38,37,71
37,49,88,80,24,71,54,59,55,43,22,86,43,95,69,50,34,38,38,71
38,49,89,80,18,72,55,59,56,43,23,86,44,95,70,50,35,38,39,71
33,50,90,80,19,72,56,59,57,43,24,86,45,95,71,50,36,38,40,71
34,50,91,80,20,72,57,59,58,43,25,86,60,95,83,50,37,38,41,71
35,50,92,80,21,72,58,59,59,43,26,86,61,95,84,50,38,38,42,71
36,50,93,80,22,72,59,59,75,43,27,86,62,95,85,50,39,38,94,71
37,50,94,80,57,74,60,59,76,43,28,86,63,95,86,50,40,38,32,72
38,50,95,80,83,79,61,59,77,43,29,86,64,95,87,50,41,38,33,72
39,50,85,81,22,80,62,59,78,43,22,87,65,95,88,50,59,38,34,72
40,50,86,81,1,82,63,59,79,43,23,87,66,95,89,50,60,38,35,72
32,51,87,81,89,83,7,60,80,43,24,87,67,95,90,50,61,38,36,72
33,51,88,81,12,84,27,60,81,43,25,87,68,95,91,50,62,38,37,72
34,51,89,81,30,86,28,60,82,43,26,87,69,95,92,50,63,38,38,72
35,51,90,81,51,87,29,60,84,43,27,87,70,95,93,50,64,38,39,72
36,51,91,81,37,90,30,60,85,43,28,87,71,95,94,50,65,38,40,72
37,51,92,81,38,90,31,60,86,43,24,88,34,96,61,51,66,38,41,72
38,51,93,81,35,91,32,60,87,43,25,88,35,96,62,51,67,38,42,72
39,51,94,81,36,91,33,60,88,43,26,88,36,96,63,51,68,38,43,72
40,51,86,82,37,91,34,60,89,43,49,92,37,96,64,51,31,39,32,73
31,52,87,82,38,91,36,60,90,43,90,92,38,96,65,51,32,39,33,73
32,52,89,82,39,91,37,60,2,44,91,92,39,96,66,51,33,39,34,73
33,52,90,82,40,91,52,60,48,44,92,92,40,96,67,51,34,39,35,73
34,52,91,82,6,92,53,60,49,44,93,92,41,96,68,51,35,39,36,73
35,52,92,82,33,92,54,60,50,44,94,92,42,96,69,51,36,39,37,73
36,52,93,82,34,92,55,60,51,44,95,92,43,96,70,51,37,39,38,73
37,52,94,82,35,92,56,60,52,44,96,92,44,96,83,51,38,39,39,73
38,52,87,83,36,92,57,60,53,44,89,93,45,96,84,51,39,39,40,73
39,52,88,83,37,92,58,60,54,44,90,93,60,96,85,51,40,39,41,73
40,52,89,83,38,92,59,60,55,44,91,93,61,96,86,51,41,39,42,73
41,52,90,83,39,92,60,60,56,44,92,93,62,96,87,51,58,39,43,73
78,52,91,83,40,92,61,60,57,44,93,93,63,96,88,51,59,39,32,74
31,53,92,83,41,92,62,60,58,44,94,93,64,96,89,51,60,39,33,74
32,53,46,85,42,92,63,60,76,44,95,93,65,96,90,51,61,39,34,74
33,53,30,87,18,93,27,61,77,44,96,93,66,96,91,51,62,39,35,74
34,53,4,91,29,93,28,61,78,44,97,93,67,96,92,51,63,39,36,74
35,53,56,92,33,93,29,61,79,44,88,94,68,96,93,51,64,39,37,74
36,53,57,92,34,93,30,61,80,44,89,94,69,96,94,51,65,39,38,74
37,53,58,92,35,93,31,61,81,44,90,94,70,96,61,52,66,39,39,74
38,53,59,92,36,93,32,61,82,44,91,94,71,96,62,52,67,39,40,74
39,53,60,92,37,93,33,61,83,44,92,94,27,97,63,52,68,39,41,74
40,53,61,92,38,93,34,61,84,44,93,94,28,97,64,52,32,40,42,74
41,53,55,93,39,93,35,61,85,44,94,94,34,97,65,52,33,40,43,74
31,54,56,93,40,93,36,61,86,44,95,94,35,97,66,52,34,40,32,75
32,54,57,93,41,93,37,61,87,44,96,94,36,97,67,52,35,40,33,75
33,54,58,93,42,93,52,61,88,44,97,94,37,97,68,52,36,40,34,75
34,54,59,93,32,94,53,61,89,44,98,94,38,97,69,52,37,40,35,75
35,54,60,93,33,94,54,61,48,45,88,95,39,97,70,52,38,40,36,75
36,54,61,93,34,94,55,61,49,45,89,95,40,97,83,52,39,40,37,75
37,54,62,93,35,94,56,61,50,45,90,95,41,97,84,52,40,40,38,75
38,54,54,94,36,94,57,61,51,45,91,95,42,97,85,52,59,40,39,75
39,54,55,94,37,94,58,61,52,45,92,95,43,97,86,52,60,40,40,75
40,54,56,94,38,94,59,61,53,45,93,95,44,97,87,52,61,40,41,75
41,54,57,94,39,94,60,61,54,45,94,95,45,97,88,52,62,40,42,75
42,54,58,94,40,94,61,61,55,45,95,95,61,97,89,52,63,40,32,76
31,55,59,94,41,94,62,61,56,45,96,95,62,97,90,52,64,40,33,76
32,55,60,94,42,94,63,61,57,45,97,95,63,97,91,52,65,40,34,76
33,55,61,94,43,94,28,62,58,45,98,95,64,97,92,52,66,40,35,76
34,55,62,94,32,95,29,62,79,45,87,96,65,97,93,52,67,40,36,76
35,55,63,94,33,95,30,62,85,45,88,96,66,97,62,53,13,41,37,76
36,55,88,94,34,95,31,62,86,45,89,96,67,97,63,53,33,41,38,76
37,55,53,95,35,95,32,62,87,45,90,96,68,97,64,53,34,41,39,76
38,55,54,95,36,95,33,62,49,46,91,96,69,97,65,53,35,41,40,76
39,55,55,95,37,95,34,62,50,46,92,96,70,97,66,53,36,41,41,76
40,55,56,95,38,95,35,62,51,46,93,96,71,97,67,53,37,41,42,76
41,55,57,95,39,95,36,62,52,46,94,96,94,97,68,53,38,41,33,77
42,55,58,95,40,95,52,62,53,46,95,96,34,98,69,53,39,41,34,77
31,56,59,95,41,95,53,62,54,46,96,96,35,98,84,53,59,41,35,77
32,56,60,95,42,95,54,62,55,46,97,96,36,98,85,53,60,41,36,77
33,56,61,95,43,95,55,62,56,46,98,96,37,98,86,53,61,41,37,77
34,56,62,95,32,96,56,62,57,46,87,97,38,98,87,53,62,41,38,77
35,56,63,95,33,96,57,62,50,47,88,97,39,98,88,53,63,41,39,77
36,56,64,95,34,96,58,62,51,47,89,97,40,98,89,53,64,41,40,77
37,56,3,96,35,96,59,62,52,47,90,97,41,98,90,53,65,41,41,77
38,56,53,96,36,96,60,62,53,47,91,97,42,98,91,53,66,41,34,78
39,56,54,96,37,96,61,62,54,47,92,97,44,98,92,53,67,41,35,78
40,56,55,96,38,96,62,62,55,47,93,97,45,98,93,53,34,42,36,78
41,56,56,96,39,96,63,62,56,47,94,97,61,98,64,54,35,42,37,78
31,57,57,96,40,96,30,63,52,48,95,97,62,98,65,54,36,42,38,78
32,57,58,96,41,96,31,63,53,48,96,97,63,98,66,54,37,42,39,78
33,57,59,96,42,96,32,63,54,48,97,97,64,98,67,54,38,42,40,78
34,57,60,96,43,96,33,63,55,48,98,97,65,98,84,54,61,42,36,79
35,57,61,96,32,97,34,63,24,50,87,98,66,98,85,54,62,42,37,79
36,57,62,96,33,97,35,63,76,50,88,98,67,98,86,54,63,42,38,79
37,57,63,96,34,97,52,63,95,50,89,98,68,98,87,54,64,42,39,79
38,57,64,96,35,97,53,63,11,51,90,98,69,98,88,54,65,42,13,81
39,57,15,97,36,97,54,63,38,51,91,98,70,98,89,54,95,43,85,82
40,57,53,97,37,97,55,63,33,55,92,98,71,98,90,54,7,53,79,84
41,57,54,97,38,97,56,63,94,56,93,98,35,99,91,54,56,56,39,86
32,58,55,97,39,97,57,63,90,57,94,98,36,99,92,54,70,56,54,88
33,58,56,97,40,97,58,63,39,62,95,98,37,99,86,55,81,57,7,93
34,58,57,97,41,97,59,63,5,71,96,98,38,99,87,55,76,58,43,93
35,58,58,97,42,97,60,63,24,71,97,98,39,99,88,55,24,61,,
36,58,59,97,43,97,61,63,41,72,98,98,40,99,89,55,33,63,,
37,58,60,97,32,98,62,63,31,93,82,99,41,99,90,55,77,68,,
38,58,61,97,33,98,63,63,36,97,88,99,42,99,91,55,57,69,,
39,58,62,97,34,98,31,64,,,,,43,99,94,56,87,69,,
40,58,63,97,35,98,32,64,,,,,44,99,56,68,68,73,,
33,59,64,97,36,98,33,64,,,,,45,99,98,68,6,74,,
34,59,26,98,37,98,53,64,,,,,62,99,19,72,63,74,,
35,59,53,98,38,98,54,64,,,,,63,99,48,75,23,76,,
36,59,54,98,39,98,55,64,,,,,64,99,77,75,65,95,,
37,59,55,98,40,98,56,64,,,,,65,99,88,80,43,98,,
38,59,56,98,41,98,57,64,,,,,66,99,83,82,,,,
39,59,57,98,42,98,58,64,,,,,67,99,32,84,,,,
40,59,58,98,43,98,59,64,,,,,68,99,16,97,,,,
34,60,59,98,76,98,60,64,,,,,69,99,4,99,,,,
35,60,60,98,32,99,61,64,,,,,70,99,,,,,,
36,60,61,98,33,99,62,64,,,,,,,,,,,,
37,60,62,98,34,99,63,64,,,,,,,,,,,,
38,60,63,98,35,99,7,65,,,,,,,,,,,,
48,63,64,98,36,99,53,65,,,,,,,,,,,,
0,68,53,99,37,99,54,65,,,,,,,,,,,,
59,71,54,99,38,99,55,65,,,,,,,,,,,,
46,76,55,99,39,99,56,65,,,,,,,,,,,,
77,76,56,99,40,99,57,65,,,,,,,,,,,,
6,77,58,99,41,99,58,65,,,,,,,,,,,,
5,83,59,99,42,99,59,65,,,,,,,,,,,,
57,87,60,99,,,60,65,,,,,,,,,,,,
34,90,61,99,,,61,65,,,,,,,,,,,,
84,95,62,99,,,62,65,,,,,,,,,,,,
20,99,63,99,,,54,66,,,,,,,,,,,,
,,64,99,,,55,66,,,,,,,,,,,,
,,,,,,56,66,,,,,,,,,,,,
,,,,,,57,66,,,,,,,,,,,,
